ID,Forename,Surname,ImageURL,ImageActionURL
67197,Jerry,ORTÍZ,https://cdn.soccerwiki.org/images/player/67197.jpg,
67200,Luis,HURTADO,https://cdn.soccerwiki.org/images/player/67200.png,
67201,José,SILVA,https://cdn.soccerwiki.org/images/player/67201.jpg,
67202,Jeison,ANGULO,https://cdn.soccerwiki.org/images/player/67202.png,
67203,Eduar,CAICEDO,https://cdn.soccerwiki.org/images/player/67203.png,
67205,Johan,MOJICA,https://cdn.soccerwiki.org/images/player/67205.png,
67206,Brayan,LUCUMÍ,https://cdn.soccerwiki.org/images/player/67206.png,
67207,Carlos,NENECO,https://cdn.soccerwiki.org/images/player/67207.png,
67208,Alí,REYES,https://cdn.soccerwiki.org/images/player/67208.jpg,
67209,Bayron,GARCÉS,https://cdn.soccerwiki.org/images/player/67209.jpg,
67210,Hárold,PRECIADO,https://cdn.soccerwiki.org/images/player/67210.png,
67213,Eder,CHAUX,https://cdn.soccerwiki.org/images/player/67213.png,
67214,Frank,LOZANO,https://cdn.soccerwiki.org/images/player/67214.png,
67215,Henry,OBANDO,https://cdn.soccerwiki.org/images/player/67215.png,
67216,Wilmar,BARRIOS,https://cdn.soccerwiki.org/images/player/67216.png,
67248,Jonathan,LOPERA,https://cdn.soccerwiki.org/images/player/67248.png,
67250,Rafael,AGÁMEZ,https://cdn.soccerwiki.org/images/player/67250.jpg,
67251,Johan,CASTAÑO,https://cdn.soccerwiki.org/images/player/67251.jpg,
67252,William,PALACIOS,https://cdn.soccerwiki.org/images/player/67252.jpg,
67254,José,ESCOBAR,https://cdn.soccerwiki.org/images/player/67254.jpg,
67255,Darwin,CARRERO,https://cdn.soccerwiki.org/images/player/67255.jpg,
67262,Óscar,RAMOS,https://cdn.soccerwiki.org/images/player/67262.png,
67264,Yerry,MINA,https://cdn.soccerwiki.org/images/player/67264.png,
67265,Fabry,CASTRO,https://cdn.soccerwiki.org/images/player/67265.png,
67267,Víctor,MEJÍA,,
67268,Fabián,GONZÁLEZ,https://cdn.soccerwiki.org/images/player/67268.png,
67269,Nicolás,PALACIOS,https://cdn.soccerwiki.org/images/player/67269.jpg,
67272,Juan,ZULUAGA,https://cdn.soccerwiki.org/images/player/67272.png,
67273,David,CASTRILLÓN,https://cdn.soccerwiki.org/images/player/67273.jpg,
67275,Leonel,GARCÍA,https://cdn.soccerwiki.org/images/player/67275.jpg,
67277,Juan Carlos,PEREIRA,https://cdn.soccerwiki.org/images/player/67277.png,
67278,Jerson,MALAGÓN,https://cdn.soccerwiki.org/images/player/67278.png,
67279,Sebastián,AYALA,https://cdn.soccerwiki.org/images/player/67279.jpg,
67282,Christian,VARGAS,https://cdn.soccerwiki.org/images/player/67282.png,
67283,Jarlan,BARRERA,https://cdn.soccerwiki.org/images/player/67283.png,
67287,Kevin,SANDOVAL,,
67290,Jhon,VÁSQUEZ,https://cdn.soccerwiki.org/images/player/67290.png,
67292,Jesús,RODRÍGUEZ,https://cdn.soccerwiki.org/images/player/67292.jpg,
67297,Jean,BECERRA,https://cdn.soccerwiki.org/images/player/67297.png,
67300,Jefferson,LERMA,https://cdn.soccerwiki.org/images/player/67300.png,
67303,Cristian,CANGÁ,https://cdn.soccerwiki.org/images/player/67303.png,
67304,Camilo,MANCILLA,https://cdn.soccerwiki.org/images/player/67304.png,
67314,Ronny,RODRÍGUEZ,,
67319,Jefersson,MARTÍNEZ,https://cdn.soccerwiki.org/images/player/67319.png,
67322,Sergio,MOSQUERA,https://cdn.soccerwiki.org/images/player/67322.png,
67323,Ricardo,DELGADO,https://cdn.soccerwiki.org/images/player/67323.jpg,
67324,Yony,GONZÁLEZ,https://cdn.soccerwiki.org/images/player/67324.png,
67326,Alexis,ZAPATA,https://cdn.soccerwiki.org/images/player/67326.png,
67327,Cristian,ARANGO,https://cdn.soccerwiki.org/images/player/67327.png,
67329,Harold,RIVERA,https://cdn.soccerwiki.org/images/player/67329.png,
67346,Yilmar,FILIGRANA,https://cdn.soccerwiki.org/images/player/67346.png,
67350,Mauricio,GÓMEZ,https://cdn.soccerwiki.org/images/player/67350.jpg,
67353,Jesús,MURILLO,https://cdn.soccerwiki.org/images/player/67353.png,
67356,Raúl,LOAIZA,https://cdn.soccerwiki.org/images/player/67356.png,
67358,Larry,VÁSQUEZ,https://cdn.soccerwiki.org/images/player/67358.png,
67362,Arleison,MARTÍNEZ,,
67749,Omar,FERNÁNDEZ,https://cdn.soccerwiki.org/images/player/67749.png,
68198,Marlon,NEGRETE,https://cdn.soccerwiki.org/images/player/68198.jpg,
68254,Jonathan,SEGURA,https://cdn.soccerwiki.org/images/player/68254.png,
68258,Arnol,PALACIOS,https://cdn.soccerwiki.org/images/player/68258.png,
68382,Johan,ARANGO,https://cdn.soccerwiki.org/images/player/68382.png,
68384,Diego,ECHEVERRI,https://cdn.soccerwiki.org/images/player/68384.png,
68961,Jordan,MOSQUERA,https://cdn.soccerwiki.org/images/player/68961.png,
69216,Roger,MARTÍNEZ,https://cdn.soccerwiki.org/images/player/69216.png,
69219,Christian,MAFLA,https://cdn.soccerwiki.org/images/player/69219.png,
69491,Reinaldo,LENIS,https://cdn.soccerwiki.org/images/player/69491.png,
69711,José Gabriel,RAMÍREZ,https://cdn.soccerwiki.org/images/player/69711.jpg,
70077,Jimmy,MEDRANDA,https://cdn.soccerwiki.org/images/player/70077.png,
70259,Andrés,ROA,https://cdn.soccerwiki.org/images/player/70259.png,
71273,Michael,ORDOÑEZ,,
71674,Steven,TAPIERO,https://cdn.soccerwiki.org/images/player/71674.png,
72111,Jeison,LUCUMÍ,https://cdn.soccerwiki.org/images/player/72111.png,
73142,Dairin,GONZÁLEZ,,
73147,Diego,GÓMEZ,https://cdn.soccerwiki.org/images/player/73147.png,
74124,Yeimar,GÓMEZ ANDRADE,https://cdn.soccerwiki.org/images/player/74124.png,
74471,Joao,RODRÍGUEZ,https://cdn.soccerwiki.org/images/player/74471.png,
75307,Dany,ROSERO,https://cdn.soccerwiki.org/images/player/75307.png,
75782,Jhon,MOSQUERA,https://cdn.soccerwiki.org/images/player/75782.png,
75794,Andrés,MURILLO,https://cdn.soccerwiki.org/images/player/75794.png,
75796,Amaury,TORRALVO,https://cdn.soccerwiki.org/images/player/75796.png,
75822,Jhon,DUQUE,https://cdn.soccerwiki.org/images/player/75822.png,
75823,Óscar,BARRETO,https://cdn.soccerwiki.org/images/player/75823.png,
